row_key,district_name,crime_head,month,district_id,crime_head_id,month_index,month_of_year,lag_1,lag_2,lag_3,lag_12,roll_3,roll_6,roll_12,district_lag_1,head_share,std_6,std_12,accel_3_12,accel_1_12,head_state_lag_1,head_state_roll_3,state_lag_1,state_roll_3,head_state_share,district_roll_3,district_accel,detected_share_lag_1,detected_roll_6,population_m,literacy_pct,urban_pct,pop_density_k,days_in_month,target_spike,target_count,spike_eligible
1-1-2024-12,Bengaluru City,Crimes Against Body,2024-12,1,1,24299,12,71,72,63,79,68.667,65.667,65.333,685,0.1036,4.534,9.159,1.051,1.0867,175,154.67,1744,1545.0,0.1003,630.67,1.2935,0.4789,36.83,9.945,88.7,98.0,13.421,31,0,61,1
1-1-2025-01,Bengaluru City,Crimes Against Body,2025-01,1,1,24300,1,61,71,72,49,68.0,65.167,63.833,517,0.118,4.845,8.224,1.0653,0.9556,151,160.0,1290,1578.33,0.1171,639.33,0.979,0.6557,37.83,9.945,88.7,98.0,13.421,31,0,63,1
1-1-2025-02,Bengaluru City,Crimes Against Body,2025-02,1,1,24301,2,63,61,71,56,65.0,65.833,65.0,501,0.1257,4.18,6.928,1.0,0.9692,162,162.67,1210,1414.67,0.1339,567.67,0.9486,0.5079,36.67,9.945,88.7,98.0,13.421,28,0,59,1
1-1-2025-03,Bengaluru City,Crimes Against Body,2025-03,1,1,24302,3,59,63,61,61,61.0,64.833,65.25,474,0.1245,4.913,6.647,0.9349,0.9042,131,148.0,1077,1192.33,0.1216,497.33,0.8984,0.5593,35.5,9.945,88.7,98.0,13.421,31,0,68,1
1-1-2025-04,Bengaluru City,Crimes Against Body,2025-04,1,1,24303,4,68,59,63,62,63.333,65.667,65.833,473,0.1438,4.955,6.555,0.962,1.0329,159,150.67,1168,1151.67,0.1361,482.67,0.8977,0.5441,35.83,9.945,88.7,98.0,13.421,30,1,95,1
1-1-2025-05,Bengaluru City,Crimes Against Body,2025-05,1,1,24304,5,95,68,59,83,74.0,69.5,68.583,481,0.1975,12.107,10.251,1.079,1.3852,199,163.0,1168,1137.67,0.1704,476.0,0.914,0.4842,37.0,9.945,88.7,98.0,13.421,31,0,76,1
1-1-2025-06,Bengaluru City,Crimes Against Body,2025-06,1,1,24305,6,76,95,68,64,79.667,70.333,68.0,493,0.1542,12.351,9.592,1.1716,1.1176,183,180.33,1190,1175.33,0.1538,482.33,0.9432,0.6053,39.0,9.945,88.7,98.0,13.421,30,0,60,1
1-1-2025-07,Bengaluru City,Crimes Against Body,2025-07,1,1,24306,7,60,76,95,59,77.0,70.167,67.667,487,0.1232,12.482,9.792,1.1379,0.8867,149,177.0,1187,1181.67,0.1255,487.0,0.9315,0.5167,37.5,9.945,88.7,98.0,13.421,31,0,90,1
1-1-2025-08,Bengaluru City,Crimes Against Body,2025-08,1,1,24307,8,90,60,76,65,75.333,74.667,70.25,514,0.1751,13.876,11.159,1.0724,1.2811,171,167.67,1190,1189.0,0.1437,498.0,0.9715,0.5556,40.5,9.945,88.7,98.0,13.421,31,0,48,1
1-1-2025-09,Bengaluru City,Crimes Against Body,2025-09,1,1,24308,9,48,90,60,63,66.0,72.833,68.833,484,0.0992,16.334,12.707,0.9588,0.6973,146,155.33,1214,1197.0,0.1203,495.0,0.9196,0.5208,39.17,9.945,88.7,98.0,13.421,30,0,59,1
1-1-2025-10,Bengaluru City,Crimes Against Body,2025-10,1,1,24309,10,59,48,90,72,65.667,71.333,68.5,465,0.1269,17.104,12.907,0.9586,0.8613,155,157.33,1104,1169.33,0.1404,487.67,0.8871,0.4746,37.67,9.945,88.7,98.0,13.421,31,0,60,1
1-1-2025-11,Bengaluru City,Crimes Against Body,2025-11,1,1,24310,11,60,59,48,71,55.667,65.5,67.5,660,0.0909,13.66,13.061,0.8247,0.8889,160,153.67,1707,1341.67,0.0937,536.33,1.2705,0.6,36.0,9.945,88.7,98.0,13.421,30,0,61,1
1-1-2025-12,Bengaluru City,Crimes Against Body,2025-12,1,1,24311,12,61,60,59,61,60.0,63.0,66.667,668,0.0913,12.858,13.13,0.9,0.915,157,157.33,1697,1502.67,0.0925,597.67,1.2894,0.5246,33.67,9.945,88.7,98.0,13.421,31,0,52,1
1-1-2026-01,Bengaluru City,Crimes Against Body,2026-01,1,1,24312,1,52,61,60,63,57.667,61.667,65.917,529,0.0983,13.499,13.678,0.8748,0.7889,152,156.33,1284,1562.67,0.1184,619.0,1.0191,0.6538,34.17,9.945,88.7,98.0,13.421,31,1,139,1
1-1-2026-02,Bengaluru City,Crimes Against Body,2026-02,1,1,24313,2,139,52,61,59,84.0,69.833,72.25,931,0.1493,31.281,24.318,1.1626,1.9239,331,213.33,2265,1748.67,0.1461,709.33,1.6777,0.5468,38.5,9.945,88.7,98.0,13.421,28,0,114,1
1-1-2026-03,Bengaluru City,Crimes Against Body,2026-03,1,1,24314,3,114,139,52,68,101.667,80.833,76.833,849,0.1343,33.214,26.476,1.3232,1.4837,291,258.0,2094,1881.0,0.139,769.67,1.4484,0.5263,44.33,9.945,88.7,98.0,13.421,31,1,153,1
1-1-2026-04,Bengaluru City,Crimes Against Body,2026-04,1,1,24315,4,153,114,139,95,135.333,96.5,83.917,996,0.1536,40.574,33.582,1.6127,1.8232,371,331.0,2455,2271.33,0.1511,925.33,1.5816,0.5098,52.67,9.945,88.7,98.0,13.421,30,0,142,1
1-1-2026-05,Bengaluru City,Crimes Against Body,2026-05,1,1,24316,5,142,153,114,76,136.333,110.167,87.833,947,0.1499,39.78,37.193,1.5522,1.6167,331,331.0,2324,2291.0,0.1424,930.67,1.4164,0.5352,59.33,9.945,88.7,98.0,13.421,31,0,138,1
1-1-2026-06,Bengaluru City,Crimes Against Body,2026-06,1,1,24317,6,138,142,153,60,144.333,123.0,93.0,1026,0.1345,33.823,39.429,1.552,1.4839,356,352.67,2456,2411.67,0.145,989.67,1.439,0.529,66.17,9.945,88.7,98.0,13.421,30,0,117,1
1-2-2024-02,Bengaluru City,Crimes Against Property,2024-02,1,2,24289,2,207,200,451,176,286.0,271.833,224.333,500,0.414,111.049,92.212,1.2749,0.9227,492,690.0,1240,1432.33,0.3968,595.33,0.9575,0.5024,143.17,9.945,88.7,98.0,13.421,28,0,198,1
1-2-2024-03,Bengaluru City,Crimes Against Property,2024-03,1,2,24290,3,198,207,200,196,201.667,272.167,226.167,481,0.4116,110.823,91.448,0.8917,0.8755,425,477.67,1148,1225.0,0.3702,505.33,0.9179,0.5657,146.33,9.945,88.7,98.0,13.421,31,0,184,1
1-2-2024-04,Bengaluru City,Crimes Against Property,2024-04,1,2,24291,4,184,198,207,173,196.333,273.833,225.167,481,0.3825,109.401,91.838,0.8719,0.8172,437,451.33,1171,1186.33,0.3732,487.33,0.9203,0.5543,148.33,9.945,88.7,98.0,13.421,30,0,177,1
1-2-2024-05,Bengaluru City,Crimes Against Property,2024-05,1,2,24292,5,177,184,198,177,186.333,236.167,225.5,489,0.362,96.601,91.655,0.8263,0.7849,421,427.67,1175,1164.67,0.3583,483.67,0.9304,0.5593,127.67,9.945,88.7,98.0,13.421,31,0,228,1
1-2-2024-06,Bengaluru City,Crimes Against Property,2024-06,1,2,24293,6,228,177,184,154,196.333,199.0,229.75,536,0.4254,16.411,90.482,0.8546,0.9924,495,451.0,1270,1205.33,0.3898,502.0,1.0115,0.5263,105.83,9.945,88.7,98.0,13.421,30,0,181,1
1-2-2024-07,Bengaluru City,Crimes Against Property,2024-07,1,2,24294,7,181,228,177,185,195.333,195.833,232.0,485,0.3732,17.696,88.892,0.842,0.7802,451,455.67,1177,1207.33,0.3832,503.33,0.9092,0.4917,104.33,9.945,88.7,98.0,13.421,31,0,170,1
1-2-2024-08,Bengaluru City,Crimes Against Property,2024-08,1,2,24295,8,170,181,228,196,193.0,189.667,230.75,439,0.3872,19.12,89.647,0.8364,0.7367,424,456.67,1103,1183.33,0.3844,486.67,0.8278,0.5353,102.17,9.945,88.7,98.0,13.421,31,0,204,1
1-2-2024-09,Bengaluru City,Crimes Against Property,2024-09,1,2,24296,9,204,170,181,174,185.0,190.667,231.417,517,0.3946,19.678,89.415,0.7994,0.8815,472,449.0,1214,1164.67,0.3888,480.33,0.9685,0.4755,99.67,9.945,88.7,98.0,13.421,30,0,180,1
1-2-2024-10,Bengaluru City,Crimes Against Property,2024-10,1,2,24297,10,180,204,170,403,184.667,190.0,231.917,491,0.3666,19.958,89.109,0.7963,0.7761,445,447.0,1190,1169.0,0.3739,482.33,0.9165,0.5556,99.33,9.945,88.7,98.0,13.421,31,1,391,1
1-2-2024-11,Bengaluru City,Crimes Against Property,2024-11,1,2,24298,11,391,180,204,451,258.333,225.667,230.917,716,0.5461,76.365,87.231,1.1187,1.6933,967,628.0,1701,1368.33,0.5685,574.67,1.3381,0.5192,116.67,9.945,88.7,98.0,13.421,30,1,382,1
1-2-2024-12,Bengaluru City,Crimes Against Property,2024-12,1,2,24299,12,382,391,180,200,317.667,251.333,225.167,685,0.5577,96.152,73.77,1.4108,1.6965,992,801.33,1744,1545.0,0.5688,630.67,1.2935,0.5236,130.0,9.945,88.7,98.0,13.421,31,0,213,1
1-2-2025-01,Bengaluru City,Crimes Against Property,2025-01,1,2,24300,1,213,382,391,207,328.667,256.667,226.25,517,0.412,92.937,73.487,1.4527,0.9414,553,837.33,1290,1578.33,0.4287,639.33,0.979,0.5775,135.67,9.945,88.7,98.0,13.421,31,0,185,1
1-2-2025-02,Bengaluru City,Crimes Against Property,2025-02,1,2,24301,2,185,213,382,198,260.0,259.167,224.417,501,0.3693,90.748,74.215,1.1586,0.8244,452,665.67,1210,1414.67,0.3736,567.67,0.9486,0.5081,136.17,9.945,88.7,98.0,13.421,28,0,186,1
1-2-2025-03,Bengaluru City,Crimes Against Property,2025-03,1,2,24302,3,186,185,213,184,194.667,256.167,223.417,474,0.3924,92.796,74.644,0.8713,0.8325,425,476.67,1077,1192.33,0.3946,497.33,0.8984,0.5161,136.0,9.945,88.7,98.0,13.421,31,0,161,1
1-2-2025-04,Bengaluru City,Crimes Against Property,2025-04,1,2,24303,4,161,186,185,177,177.333,253.0,221.5,473,0.3404,95.623,75.916,0.8006,0.7269,407,428.0,1168,1151.67,0.3485,482.67,0.8977,0.5404,133.83,9.945,88.7,98.0,13.421,30,0,165,1
1-2-2025-05,Bengaluru City,Crimes Against Property,2025-05,1,2,24304,5,165,161,186,228,170.667,215.333,220.5,481,0.343,76.43,76.572,0.774,0.7483,426,419.33,1168,1137.67,0.3647,476.0,0.914,0.503,113.83,9.945,88.7,98.0,13.421,31,0,184,1
1-2-2025-06,Bengaluru City,Crimes Against Property,2025-06,1,2,24305,6,184,165,161,181,170.0,182.333,216.833,493,0.3732,16.928,77.176,0.784,0.8486,427,420.0,1190,1175.33,0.3588,482.33,0.9432,0.5435,97.17,9.945,88.7,98.0,13.421,30,0,178,1
1-2-2025-07,Bengaluru City,Crimes Against Property,2025-07,1,2,24306,7,178,184,165,170,175.667,176.5,216.583,487,0.3655,9.946,77.296,0.8111,0.8219,450,434.33,1187,1181.67,0.3791,487.0,0.9315,0.5674,93.5,9.945,88.7,98.0,13.421,31,0,186,1
1-2-2025-08,Bengaluru City,Crimes Against Property,2025-08,1,2,24307,8,186,178,184,204,182.667,176.667,217.917,514,0.3619,10.094,76.616,0.8382,0.8535,440,439.0,1190,1189.0,0.3697,498.0,0.9715,0.5161,93.83,9.945,88.7,98.0,13.421,31,0,170,1
1-2-2025-09,Bengaluru City,Crimes Against Property,2025-09,1,2,24308,9,170,186,178,180,178.0,174.0,215.083,484,0.3512,9.363,77.7,0.8276,0.7904,434,441.33,1214,1197.0,0.3575,495.0,0.9196,0.5353,93.0,9.945,88.7,98.0,13.421,30,0,175,1
1-2-2025-10,Bengaluru City,Crimes Against Property,2025-10,1,2,24309,10,175,170,186,391,177.0,176.333,214.667,465,0.3763,7.364,77.9,0.8245,0.8152,394,422.67,1104,1169.33,0.3569,487.67,0.8871,0.5371,94.17,9.945,88.7,98.0,13.421,31,1,377,1
1-2-2025-11,Bengaluru City,Crimes Against Property,2025-11,1,2,24310,11,377,175,170,382,240.667,211.667,213.5,660,0.5712,74.132,75.312,1.1272,1.7658,979,602.33,1707,1341.67,0.5735,536.33,1.2705,0.5385,114.17,9.945,88.7,98.0,13.421,30,1,385,1
1-2-2025-12,Bengaluru City,Crimes Against Property,2025-12,1,2,24311,12,385,377,175,213,312.333,245.167,213.75,668,0.5763,96.193,75.874,1.4612,1.8012,1016,796.33,1697,1502.67,0.5987,597.67,1.2894,0.5117,130.33,9.945,88.7,98.0,13.421,31,0,209,1
1-2-2026-01,Bengaluru City,Crimes Against Property,2026-01,1,2,24312,1,209,385,377,185,323.667,250.333,213.417,529,0.3951,93.234,75.885,1.5166,0.9793,513,836.0,1284,1562.67,0.3995,619.0,1.0191,0.4354,128.67,9.945,88.7,98.0,13.421,31,0,350,1
1-2-2026-02,Bengaluru City,Crimes Against Property,2026-02,1,2,24313,2,350,209,385,186,314.667,277.667,227.167,931,0.3759,94.399,84.005,1.3852,1.5407,860,796.33,2265,1748.67,0.3797,709.33,1.6777,0.5371,144.0,9.945,88.7,98.0,13.421,28,0,312,1
1-2-2026-03,Bengaluru City,Crimes Against Property,2026-03,1,2,24314,3,312,350,209,161,290.333,301.333,237.667,849,0.3675,81.336,86.053,1.2216,1.3128,793,722.0,2094,1881.0,0.3787,769.67,1.4484,0.5449,157.17,9.945,88.7,98.0,13.421,31,0,367,1
1-2-2026-04,Bengaluru City,Crimes Against Property,2026-04,1,2,24315,4,367,312,350,165,343.0,333.333,254.833,996,0.3685,60.417,89.524,1.346,1.4402,904,852.33,2455,2271.33,0.3682,925.33,1.5816,0.545,174.83,9.945,88.7,98.0,13.421,30,0,351,1
1-2-2026-05,Bengaluru City,Crimes Against Property,2026-05,1,2,24316,5,351,367,312,184,343.333,329.0,270.333,947,0.3706,58.014,88.726,1.27,1.2984,870,855.67,2324,2291.0,0.3744,930.67,1.4164,0.5271,171.83,9.945,88.7,98.0,13.421,31,0,404,1
1-2-2026-06,Bengaluru City,Crimes Against Property,2026-06,1,2,24317,6,404,351,367,178,374.0,332.167,288.667,1026,0.3938,61.404,91.674,1.2956,1.3995,953,909.0,2456,2411.67,0.388,989.67,1.439,0.4802,171.33,9.945,88.7,98.0,13.421,30,0,409,1
1-3-2024-02,Bengaluru City,Crimes Against Women,2024-02,1,3,24289,2,36,39,46,38,40.333,38.5,37.417,500,0.072,6.946,6.144,1.078,0.9621,105,102.0,1240,1432.33,0.0847,595.33,0.9575,0.5556,21.17,9.945,88.7,98.0,13.421,28,0,29,1
1-3-2024-03,Bengaluru City,Crimes Against Women,2024-03,1,3,24290,3,29,36,39,32,34.667,39.167,36.667,481,0.0603,5.698,6.562,0.9455,0.7909,80,96.67,1148,1225.0,0.0697,505.33,0.9179,0.5517,22.0,9.945,88.7,98.0,13.421,31,0,40,1
1-3-2024-04,Bengaluru City,Crimes Against Women,2024-04,1,3,24291,4,40,29,36,44,35.0,39.167,37.333,481,0.0832,5.698,6.459,0.9375,1.0714,100,95.0,1171,1186.33,0.0854,487.33,0.9203,0.55,21.83,9.945,88.7,98.0,13.421,30,0,42,1
1-3-2024-05,Bengaluru City,Crimes Against Women,2024-05,1,3,24292,5,42,40,29,40,37.0,38.667,37.167,489,0.0859,5.281,6.309,0.9955,1.13,92,90.67,1175,1164.67,0.0783,483.67,0.9304,0.5,21.0,9.945,88.7,98.0,13.421,31,0,35,1
1-3-2024-06,Bengaluru City,Crimes Against Women,2024-06,1,3,24293,6,35,42,40,35,39.0,36.833,36.75,536,0.0653,4.22,6.273,1.0612,0.9524,87,93.0,1270,1205.33,0.0685,502.0,1.0115,0.6,19.17,9.945,88.7,98.0,13.421,30,0,45,1
1-3-2024-07,Bengaluru City,Crimes Against Women,2024-07,1,3,24294,7,45,35,42,29,40.667,37.833,37.583,485,0.0928,5.209,6.639,1.082,1.1973,105,94.67,1177,1207.33,0.0892,503.33,0.9092,0.5111,20.5,9.945,88.7,98.0,13.421,31,0,37,1
1-3-2024-08,Bengaluru City,Crimes Against Women,2024-08,1,3,24295,8,37,45,35,25,39.0,38.0,38.25,439,0.0843,5.164,6.125,1.0196,0.9673,94,95.33,1103,1183.33,0.0852,486.67,0.8278,0.5135,20.33,9.945,88.7,98.0,13.421,31,0,34,1
1-3-2024-09,Bengaluru City,Crimes Against Women,2024-09,1,3,24296,9,34,37,45,40,38.667,38.833,39.0,517,0.0658,3.891,4.882,0.9915,0.8718,95,98.0,1214,1164.67,0.0783,480.33,0.9685,0.6471,21.33,9.945,88.7,98.0,13.421,30,0,24,1
1-3-2024-10,Bengaluru City,Crimes Against Women,2024-10,1,3,24297,10,24,34,37,45,31.667,36.167,37.667,491,0.0489,6.669,6.381,0.8407,0.6372,78,89.0,1190,1169.0,0.0655,482.33,0.9165,0.4583,19.5,9.945,88.7,98.0,13.421,31,0,41,1
1-3-2024-11,Bengaluru City,Crimes Against Women,2024-11,1,3,24298,11,41,24,34,46,33.0,36.0,37.333,716,0.0573,6.532,6.087,0.8839,1.0982,102,91.67,1701,1368.33,0.06,574.67,1.3381,0.6098,20.17,9.945,88.7,98.0,13.421,30,0,41,1
1-3-2024-12,Bengaluru City,Crimes Against Women,2024-12,1,3,24299,12,41,41,24,39,35.333,37.0,36.917,685,0.0599,6.758,5.634,0.9571,1.1106,116,98.67,1744,1545.0,0.0665,630.67,1.2935,0.4146,19.5,9.945,88.7,98.0,13.421,31,0,42,1
1-3-2025-01,Bengaluru City,Crimes Against Women,2025-01,1,3,24300,1,42,41,41,36,41.333,36.5,37.167,517,0.0812,6.238,5.786,1.1121,1.13,91,103.0,1290,1578.33,0.0705,639.33,0.979,0.6667,20.33,9.945,88.7,98.0,13.421,31,0,37,1
1-3-2025-02,Bengaluru City,Crimes Against Women,2025-02,1,3,24301,2,37,42,41,29,40.0,36.5,37.25,501,0.0739,6.238,5.775,1.0738,0.9933,90,99.0,1210,1414.67,0.0744,567.67,0.9486,0.5405,20.5,9.945,88.7,98.0,13.421,28,0,31,1
1-3-2025-03,Bengaluru City,Crimes Against Women,2025-03,1,3,24302,3,31,37,42,40,36.667,36.0,37.417,474,0.0654,6.532,5.56,0.98,0.8285,86,89.0,1077,1192.33,0.0799,497.33,0.8984,0.5806,19.83,9.945,88.7,98.0,13.421,31,0,48,1
1-3-2025-04,Bengaluru City,Crimes Against Women,2025-04,1,3,24303,4,48,31,37,42,38.667,40.0,38.083,473,0.1015,5.164,6.264,1.0153,1.2604,109,95.0,1168,1151.67,0.0933,482.67,0.8977,0.5625,22.5,9.945,88.7,98.0,13.421,30,0,26,1
1-3-2025-05,Bengaluru City,Crimes Against Women,2025-05,1,3,24304,5,26,48,31,35,35.0,37.5,36.75,481,0.0541,7.274,6.954,0.9524,0.7075,73,89.33,1168,1137.67,0.0625,476.0,0.914,0.5769,20.83,9.945,88.7,98.0,13.421,31,0,30,1
1-3-2025-06,Bengaluru City,Crimes Against Women,2025-06,1,3,24305,6,30,26,48,45,34.667,35.667,36.333,493,0.0609,7.542,7.192,0.9541,0.8257,90,90.67,1190,1175.33,0.0756,482.33,0.9432,0.3667,19.83,9.945,88.7,98.0,13.421,30,0,39,1
1-3-2025-07,Bengaluru City,Crimes Against Women,2025-07,1,3,24306,7,39,30,26,37,31.667,35.167,35.833,487,0.0801,7.198,6.768,0.8837,1.0884,83,82.0,1187,1181.67,0.0699,487.0,0.9315,0.6667,19.5,9.945,88.7,98.0,13.421,31,0,38,1
1-3-2025-08,Bengaluru City,Crimes Against Women,2025-08,1,3,24307,8,38,39,30,34,35.667,35.333,35.917,514,0.0739,7.25,6.788,0.993,1.058,88,87.0,1190,1189.0,0.0739,498.0,0.9715,0.6053,20.0,9.945,88.7,98.0,13.421,31,0,41,1
1-3-2025-09,Bengaluru City,Crimes Against Women,2025-09,1,3,24308,9,41,38,39,24,39.333,37.0,36.5,484,0.0847,7.211,6.898,1.0776,1.1233,115,95.33,1214,1197.0,0.0947,495.0,0.9196,0.6341,21.33,9.945,88.7,98.0,13.421,30,0,38,1
1-3-2025-10,Bengaluru City,Crimes Against Women,2025-10,1,3,24309,10,38,41,38,41,39.0,35.333,37.667,465,0.0817,5.406,5.778,1.0354,1.0088,83,95.33,1104,1169.33,0.0752,487.67,0.8871,0.6053,20.67,9.945,88.7,98.0,13.421,31,0,45,1
1-3-2025-11,Bengaluru City,Crimes Against Women,2025-11,1,3,24310,11,45,38,41,41,41.333,38.5,38.0,660,0.0682,4.5,6.069,1.0877,1.1842,104,100.67,1707,1341.67,0.0609,536.33,1.2705,0.5556,22.33,9.945,88.7,98.0,13.421,30,0,36,1
1-3-2025-12,Bengaluru City,Crimes Against Women,2025-12,1,3,24311,12,36,45,38,42,39.667,39.5,37.583,668,0.0539,2.872,6.02,1.0554,0.9579,81,89.33,1697,1502.67,0.0477,597.67,1.2894,0.6389,24.33,9.945,88.7,98.0,13.421,31,0,43,1
1-3-2026-01,Bengaluru City,Crimes Against Women,2026-01,1,3,24312,1,43,36,45,37,41.333,40.167,37.667,529,0.0813,3.131,6.087,1.0973,1.1416,104,96.33,1284,1562.67,0.081,619.0,1.0191,0.5814,24.17,9.945,88.7,98.0,13.421,31,1,75,1
1-3-2026-02,Bengaluru City,Crimes Against Women,2026-02,1,3,24313,2,75,43,36,31,51.333,46.333,40.833,931,0.0806,13.161,11.964,1.2571,1.8367,200,128.33,2265,1748.67,0.0883,709.33,1.6777,0.48,26.33,9.945,88.7,98.0,13.421,28,1,74,1
1-3-2026-03,Bengaluru City,Crimes Against Women,2026-03,1,3,24314,3,74,75,43,48,64.0,51.833,44.417,849,0.0872,16.304,14.626,1.4409,1.666,164,156.0,2094,1881.0,0.0783,769.67,1.4484,0.5946,29.33,9.945,88.7,98.0,13.421,31,0,78,1
1-3-2026-04,Bengaluru City,Crimes Against Women,2026-04,1,3,24315,4,78,74,75,26,75.667,58.5,46.917,996,0.0783,17.424,17.337,1.6128,1.6625,191,185.0,2455,2271.33,0.0778,925.33,1.5816,0.4487,31.33,9.945,88.7,98.0,13.421,30,0,78,1
1-3-2026-05,Bengaluru City,Crimes Against Women,2026-05,1,3,24316,5,78,78,74,30,76.667,64.0,51.25,947,0.0824,17.502,18.051,1.4959,1.522,193,182.67,2324,2291.0,0.083,930.67,1.4164,0.5,33.67,9.945,88.7,98.0,13.421,31,0,91,1
1-3-2026-06,Bengaluru City,Crimes Against Women,2026-06,1,3,24317,6,91,78,78,39,82.333,73.167,56.333,1026,0.0887,14.599,19.851,1.4615,1.6154,180,188.0,2456,2411.67,0.0733,989.67,1.439,0.5934,38.83,9.945,88.7,98.0,13.421,30,0,93,1
1-4-2024-02,Bengaluru City,Cyber Crime,2024-02,1,4,24289,2,83,103,87,74,91.0,92.0,89.167,500,0.166,7.916,8.345,1.0206,0.9308,220,220.33,1240,1432.33,0.1774,595.33,0.9575,0.5422,46.33,9.945,88.7,98.0,13.421,28,0,105,1
1-4-2024-03,Bengaluru City,Cyber Crime,2024-03,1,4,24290,3,105,83,103,81,97.0,95.333,91.75,481,0.2183,8.459,8.043,1.0572,1.1444,236,228.0,1148,1225.0,0.2056,505.33,0.9179,0.5048,48.17,9.945,88.7,98.0,13.421,31,0,88,1
1-4-2024-04,Bengaluru City,Cyber Crime,2024-04,1,4,24291,4,88,105,83,85,92.0,94.667,92.333,481,0.183,8.844,7.476,0.9964,0.9531,210,222.0,1171,1186.33,0.1793,487.33,0.9203,0.5114,47.67,9.945,88.7,98.0,13.421,30,0,89,1
1-4-2024-05,Bengaluru City,Cyber Crime,2024-05,1,4,24292,5,89,88,105,89,94.0,92.5,92.667,489,0.182,8.362,7.226,1.0144,0.9604,214,220.0,1175,1164.67,0.1821,483.67,0.9304,0.4494,46.33,9.945,88.7,98.0,13.421,31,0,91,1
1-4-2024-06,Bengaluru City,Cyber Crime,2024-06,1,4,24293,6,91,89,88,90,89.333,93.167,92.833,536,0.1698,8.05,7.163,0.9623,0.9803,244,222.67,1270,1205.33,0.1921,502.0,1.0115,0.5385,48.0,9.945,88.7,98.0,13.421,30,0,93,1
1-4-2024-07,Bengaluru City,Cyber Crime,2024-07,1,4,24294,7,93,91,89,99,91.0,91.5,93.083,485,0.1918,6.776,7.112,0.9776,0.9991,214,224.0,1177,1207.33,0.1818,503.33,0.9092,0.6559,48.83,9.945,88.7,98.0,13.421,31,0,80,1
