AccusedMasterID,CaseMasterID,AccusedName,AgeYear,GenderID,PersonID
64,77,Deepa Kulkarni,21,2,A1
65,79,Shankar Swamy,47,1,A1
66,79,Abdul Biradar K,25,1,A2
67,82,Naveen Kulkarni,19,1,A1
68,82,Vishnu V,31,1,A2
69,83,Vinay Acharya,21,1,A1
70,83,Sandeep Ballal,43,1,A2
71,85,Mahesh Kamath,54,1,A1
72,86,Mahesh Rao,47,1,A1
73,88,Netra Prasad,23,2,A1
74,88,Girish Kori,41,1,A2
75,88,Mohan Poojary R,52,1,A3
76,89,Shwetha Kulkarni T,35,2,A1
77,91,Sandeep Desai,27,1,A1
78,92,Uma Patil S,27,2,A1
79,92,Arun Kori,30,1,A2
80,96,Gopal Rao,40,1,A1
81,96,Yogesh Hanumanthappa,26,1,A2
82,97,Mahesh G,46,1,A1
83,97,Rohit Biradar,23,1,A2
84,97,Abdul Bantwal R,28,1,A3
85,98,Ashok Iyer,30,1,A1
86,99,Shivakumar Murthy,42,1,A1
87,103,Deepak Jadhav,38,1,A1
88,104,Girish Angadi,42,1,A1
89,111,Gopal Hanumanthappa,38,1,A1
90,111,Vijay Devaraj,35,1,A2
91,112,Kiran Poojary,31,1,A1
92,115,David Hanumanthappa,27,1,A1
93,115,Vijay Hegde,44,1,A2
94,118,Imran Prasad P,37,1,A1
95,119,Imran Kumar,22,1,A1
96,119,Mahesh Ballal B,46,1,A2
97,120,Rajesh N,30,1,A1
98,121,Ashok Swamy,31,1,A1
99,121,Manjunath Shetty,36,1,A2
100,122,Nagaraj V,34,1,A1
101,123,Girish Hiremath,24,1,A1
102,125,Ganesh Hegde R,19,1,A1
103,125,Vidya Shetty,51,2,A2
104,126,Sunil Setty,45,1,A1
105,126,Mahesh Swamy,37,1,A2
106,127,Gopal Setty,46,1,A1
107,128,Chaitra Kori H,52,2,A1
108,128,Fathima Biradar,47,2,A2
109,128,Raghavendra P,40,1,A3
110,129,Abdul Swamy M,54,1,A1
111,130,Raghavendra Murthy,19,1,A1
112,131,Kavya Reddy,35,2,A1
113,133,Rohit Banakar,29,1,A1
114,137,Lokesh Swamy,26,1,A1
115,137,Ravi Rao,42,1,A2
116,139,Anil Patil,52,1,A1
117,139,Rekha L,30,2,A2
118,139,Santosh Swamy,46,1,A3
119,140,Ravi Kumar,40,1,A1
120,142,Sowmya M,55,2,A1
121,146,Deepa Iyer,29,2,A1
122,146,Kiran A,52,1,A2
123,148,Shankar Patil,45,1,A1
124,148,Vidya Devaraj,51,2,A2
125,149,Vijay Acharya,22,1,A1
126,150,Ashok Kulkarni,45,1,A1
127,151,Ashok Hegde,29,1,A1
128,152,Madhu Banakar,25,1,A1
129,156,Manjunath Gowda,45,1,A1
130,157,Srinivas Jadhav,42,1,A1
131,158,Vinay Hukkeri A,38,1,A1
132,158,Rohit Kumar,50,1,A2
133,158,Praveen Biradar,41,1,A3
134,159,David Angadi,37,1,A1
135,159,Vijay Shetty,54,1,A2
136,160,Santosh Kumar,27,1,A1
137,161,Chaitra Gowda H,21,2,A1
138,162,Prasad Acharya,53,1,A1
139,162,Basavaraj T,32,1,A2
140,162,Karthik Iyer,53,1,A3
141,163,Shankar Iyer,39,1,A1
142,164,Rajesh Poojary,35,1,A1
143,164,Ravi Kamath,54,1,A2
144,165,Prasad Angadi,33,1,A1
145,165,Pooja Poojary,33,2,A2
146,167,Thomas Angadi D,49,1,A1
147,167,Karthik Ballal,55,1,A2
148,170,Nagaraj Swamy,21,1,A1
149,171,Rajesh Naik,37,1,A1
150,173,Sandeep Gowda,48,1,A1
151,174,Ganesh Kumar,20,1,A1
152,175,Kiran Biradar A,21,1,A1
153,176,Thomas Hosanagar G,45,1,A1
154,176,Arun Desai,52,1,A2
155,177,Vijay Desai,51,1,A1
156,177,Shankar B,27,1,A2
157,177,Prakash B,22,1,A3
158,178,Basavaraj Kumar,32,1,A1
159,179,Manjunath Hiremath,33,1,A1
160,181,Lokesh Bhat,45,1,A1
161,182,Deepak Kulkarni,48,1,A1
162,183,Harish Swamy,47,1,A1
163,185,Santosh Setty A,35,1,A1
164,186,Vishnu Acharya,19,1,A1
165,186,Gopal Halagatti,53,1,A2
166,186,Chandru T,40,1,A3
167,187,Abdul Bhat,52,1,A1
168,188,Harish G,36,1,A1
169,190,Chandru Acharya,44,1,A1
170,191,Mohan N,22,1,A1
171,191,Abdul Desai R,37,1,A2
172,193,Anil Gowda,49,1,A1
173,194,Ayesha Kamath,24,2,A1
174,195,Karthik T,24,1,A1
175,195,Prasad Biradar,20,1,A2
176,195,Bhavya Shetty,48,2,A3
177,196,Ravi B,24,1,A1
178,197,Shankar Swamy,39,1,A1
179,197,Gopal Prasad,19,1,A2
180,198,Naveen Angadi,33,1,A1
181,198,Mahesh R,44,1,A2
182,198,Nagaraj Swamy,24,1,A3
183,201,Nandini Swamy,32,2,A1
184,201,Darshan Rao,27,1,A2
185,201,Vishnu Kumar,40,1,A3
186,205,Chandru Devaraj V,22,1,A1
187,206,Abdul Kori,39,1,A1
188,210,Uma Prasad,46,2,A1
189,211,Nandini V,55,2,A1
190,212,Sujatha Kori,55,2,A1
191,215,Kiran Hegde T,35,1,A1
192,218,Praveen Shetty,24,1,A1
193,218,Ravi Kumar,30,1,A2
194,220,Thomas Hegde,45,1,A1
195,225,Sunitha Banakar,55,2,A1
196,225,Raghavendra Banakar,21,1,A2
197,225,Chandru Banakar,50,1,A3
198,226,Rajesh Hegde,50,1,A1
199,227,Srinivas Hanumanthappa A,39,1,A1
200,229,Rohit Kori,26,1,A1
201,231,Nagaraj B,44,1,A1
202,232,Ramya Nayak,46,2,A1
203,236,Karthik Murthy,51,1,A1
204,237,Raghavendra Biradar,47,1,A1
205,240,Ramesh Banakar,43,1,A1
206,241,Rajesh Hanumanthappa,32,1,A1
207,241,Prakash V,29,1,A2
208,242,Manjunath Setty,45,1,A1
209,244,Vishnu Swamy,21,1,A1
210,245,Thomas M,53,1,A1
211,246,Bhavya Kamath,23,2,A1
212,246,Vinay Patil,41,1,A2
213,247,Sunil Prasad,55,1,A1
214,249,Ramesh Biradar,29,1,A1
215,250,Vishnu Devaraj,29,1,A1
216,250,Ashok Kamath,51,1,A2
217,252,Abdul Murthy,32,1,A1
218,252,Mohan Gowda,41,1,A2
219,255,David Banakar,37,1,A1
220,257,Sunil Prasad,34,1,A1
221,258,Karthik V,23,1,A1
222,258,Gopal Gowda,24,1,A2
223,258,Thomas Naik,25,1,A3
224,259,Madhu Jadhav,42,1,A1
225,259,Srinivas Rao,29,1,A2
226,261,Thomas Reddy,25,1,A1
227,262,Syed Poojary,45,1,A1
228,264,Vinay V,30,1,A1
229,264,Rohit Setty A,23,1,A2
230,264,Mohan Kamath S,51,1,A3
231,265,Sunil Prasad,37,1,A1
232,265,Prakash Hosadurga L,29,1,A2
233,265,Manjunath S,25,1,A3
234,266,Madhu H,47,1,A1
235,266,Suresh Patil,32,1,A2
236,266,Ramesh Murthy,40,1,A3
237,267,Kiran Y,54,1,A1
238,267,Shivakumar M,39,1,A2
239,268,Vinay Devaraj,22,1,A1
240,268,Umesh Naik,54,1,A2
241,269,Shivakumar Hiremath,23,1,A1
242,269,Ashwini B,21,2,A2
243,270,David Acharya S,54,1,A1
244,270,Naveen Jadhav,41,1,A2
245,273,Prasad Swamy,35,1,A1
246,273,Manjunath Hosadurga,44,1,A2
247,277,Umesh Murthy,41,1,A1
248,278,Deepak Pai,31,1,A1
249,278,Mahesh Shetty,21,1,A2
250,278,Santosh Patil,35,1,A3
251,279,Bhavya Iyer,37,2,A1
252,279,Harish Hiremath,44,1,A2
253,279,Kiran Iyer,54,1,A3
254,282,Naveen Reddy,40,1,A1
255,282,Lokesh D,37,1,A2
256,284,Rohit Swamy A,55,1,A1
257,284,Vijay Kumar K,20,1,A2
258,285,Syed Kulkarni N,41,1,A1
259,288,Syed Gangavathi,39,1,A1
260,288,Raghavendra Pai,44,1,A2
261,288,Nagaraj Rao,45,1,A3
262,289,Prakash Shetty,48,1,A1
263,290,Suresh Murthy,37,1,A1
264,293,Ramesh Desai,40,1,A1
265,294,Shivakumar Jamkhandi,22,1,A1
266,296,Roopa Biradar,31,2,A1
267,296,Shivakumar Swamy,47,1,A2
268,297,Deepak Kumar,46,1,A1
269,298,Thomas Acharya,43,1,A1
270,299,Uma Iyer,37,2,A1
271,299,Abdul Kumar,30,1,A2
272,299,Rajesh Acharya,53,1,A3
273,300,Ravi Desai,45,1,A1
274,301,Mahesh Reddy,19,1,A1
275,302,Ashok Murthy,34,1,A1
276,305,Vishnu Pandavapura,34,1,A1
277,306,Arun Kumar,36,1,A1
278,307,Sowmya L,43,2,A1
279,311,Suresh Desai,31,1,A1
280,312,Basavaraj Nayak,33,1,A1
281,312,Geetha A,47,2,A2
282,313,Thomas Nidagundi,54,1,A1
283,314,Shivakumar Angadi,20,1,A1
284,314,Nagaraj Jadhav,53,1,A2
285,315,Kiran Hanumanthappa,33,1,A1
286,315,Ramesh Kulkarni,34,1,A2
287,316,Nagaraj Desai,52,1,A1
288,318,Syed Ballal,52,1,A1
289,319,Shankar Swamy,32,1,A1
290,319,Nagaraj Murthy,27,1,A2
291,320,Ganesh Basavakalyan,49,1,A1
292,321,Vijay Pai,19,1,A1
293,322,Abdul R,37,1,A1
294,323,Umesh Banakar,40,1,A1
295,324,Ramesh Rao,33,1,A1
296,324,Deepak Kumar G,39,1,A2
297,325,Naveen Chikkanna,40,1,A1
298,326,Rohit Rao H,52,1,A1
299,327,Lokesh Banakar,46,1,A1
300,328,Raghavendra Murthy,22,1,A1
301,329,Padma Shetty,46,2,A1
302,330,Umesh Sringeri B,51,1,A1
303,330,Umesh G,29,1,A2
304,330,Srinivas Prasad,42,1,A3
305,331,Shankar Iyer,19,1,A1
306,332,Ashok Acharya,25,1,A1
307,334,Naveen L,20,1,A1
308,334,Rajesh G,44,1,A2
309,337,Rekha Acharya,32,2,A1
310,338,Vijay Iyer,38,1,A1
311,341,Abdul Ballal,31,1,A1
312,341,Prakash Pai,21,1,A2
313,344,Santosh Kori,19,1,A1
314,345,Gopal Banakar,30,1,A1
315,345,David Ballal H,46,1,A2
316,346,Manjunath Patil,42,1,A1
317,347,Vinay Setty,20,1,A1
318,348,Harish Poojary,26,1,A1
319,348,Venkatesh Naik,29,1,A2
320,348,Prakash Biradar,29,1,A3
321,350,Harish Reddy,23,1,A1
322,351,Arun Poojary,32,1,A1
323,353,Darshan L,28,1,A1
324,353,Vishnu Shetty,41,1,A2
325,355,Vinay Desai,40,1,A1
326,356,Umesh Rao,50,1,A1
327,356,Suresh Kamath,19,1,A2
328,358,Shankar Ballal,38,1,A1
329,359,Thomas Iyer,30,1,A1
330,360,Chandru Kalgi,51,1,A1
331,362,Umesh Kumar,25,1,A1
332,362,Abdul Swamy,51,1,A2
333,363,Sunitha Kamath,19,2,A1
334,363,Prasad Rao,39,1,A2
335,364,Vishnu Desai S,24,1,A1
336,365,Rajesh Setty,25,1,A1
337,366,Vishnu Gowda P,28,1,A1
338,366,Ganesh Kulkarni R,26,1,A2
339,367,Gopal Acharya,43,1,A1
340,367,Srinivas L,47,1,A2
341,368,Vinay Murthy,36,1,A1
342,370,Suresh Acharya N,24,1,A1
343,370,Mahesh Nayak,40,1,A2
344,372,Suresh Devaraj,36,1,A1
345,372,Rajesh Reddy,23,1,A2
346,377,Srinivas Jadhav H,27,1,A1
347,377,Lokesh K,53,1,A2
348,377,Umesh B,32,1,A3
349,378,Sujatha Devaraj,36,2,A1
350,378,Sunitha Murthy,25,2,A2
351,379,Darshan Kori,26,1,A1
352,379,Anil Reddy,52,1,A2
353,379,Chaitra Angadi,46,2,A3
354,380,Naveen Hegde,30,1,A1
355,381,Sushma H,52,2,A1
356,382,Prakash Biradar V,29,1,A1
357,382,Arun Acharya,54,1,A2
358,382,Harish Kumar T,52,1,A3
359,384,Nagaraj Kori,24,1,A1
360,384,Netra Setty,48,2,A2
361,386,Syed Biradar,25,1,A1
362,386,Praveen Hanumanthappa T,27,1,A2
363,387,Imran Shetty,23,1,A1
364,388,David Gowda,40,1,A1
365,388,Uma Hegde,22,2,A2
366,392,Deepak Iyer,49,1,A1
367,393,David Belavadi,21,1,A1
368,393,Vinay Setty,55,1,A2
369,394,Ashok Kumar,26,1,A1
370,394,Ganesh Hegde,21,1,A2
371,394,Prasad Swamy,27,1,A3
372,395,Prakash Reddy,21,1,A1
373,397,Lokesh Nayak,44,1,A1
374,397,Naveen P,24,1,A2
375,398,Madhu Gowda,33,1,A1
376,399,Prakash Iyer,39,1,A1
377,404,Manjunath Poojary,26,1,A1
378,404,Vishnu Swamy,49,1,A2
379,405,Syed Nargund,32,1,A1
380,406,Shivakumar Reddy,41,1,A1
381,406,Rohit Gowda,48,1,A2
382,407,Karthik Jadhav,41,1,A1
383,407,Venkatesh T,46,1,A2
384,408,Madhu D,50,1,A1
385,408,Sunil Poojary L,52,1,A2
386,409,Vijay Setty,19,1,A1
387,409,Venkatesh Murthy,36,1,A2
388,412,Thomas Jadhav,51,1,A1
389,413,Raghavendra Angadi,41,1,A1
390,414,Ganesh Iyer,48,1,A1
391,416,Umesh Devaraj,33,1,A1
392,417,Prasad Kamath,45,1,A1
393,418,Suresh Setty,30,1,A1
394,419,Mohan Jadhav,27,1,A1
395,420,Shivakumar Nayak,19,1,A1
396,421,Syed Bhat,26,1,A1
397,421,Anil Setty,21,1,A2
398,422,Yogesh Nayak,38,1,A1
399,424,Ravi D,46,1,A1
400,425,Vijay Rao,54,1,A1
401,425,Umesh Murthy,20,1,A2
402,426,Manjunath M,34,1,A1
403,426,Arun H,24,1,A2
404,429,Harish Kori,47,1,A1
405,430,Ravi Reddy,48,1,A1
406,433,Vishnu Hegde,42,1,A1
407,433,Venkatesh G,51,1,A2
408,434,Prasad Prasad,39,1,A1
409,436,Darshan K,33,1,A1
410,436,Vishnu Setty,19,1,A2
411,437,Kiran Kamath,27,1,A1
412,437,Gopal Bhat P,25,1,A2
413,439,Abdul Hanumanthappa,40,1,A1
414,439,Vishnu Desai,30,1,A2
415,441,Ramesh Shetty,19,1,A1
416,442,Syed N,38,1,A1
417,444,Vishnu R,36,1,A1
418,445,Lokesh Desai,21,1,A1
419,445,Girish B,35,1,A2
420,447,Srinivas Banakar,40,1,A1
421,448,Vishnu Kori,28,1,A1
422,449,Karthik Jadhav,36,1,A1
423,449,Umesh Rao,49,1,A2
424,452,Rohit Hiremath,49,1,A1
425,452,Vijay Rao,23,1,A2
426,453,Prasad Nayak,49,1,A1
427,453,Manjunath Devaraj,37,1,A2
428,455,Vishnu Patil,31,1,A1
429,457,Rajesh Jadhav,33,1,A1
430,458,Rohit Prasad M,41,1,A1
431,462,Praveen Murthy,51,1,A1
432,462,Arun Nayak,35,1,A2
433,464,Suresh Nayak,52,1,A1
434,464,Raghavendra Murthy,41,1,A2
435,464,Prasad Banakar,38,1,A3
436,465,D Belthangady,21,1,A1
437,465,Basavaraj Swamy,40,1,A2
438,466,Gopal Rao,20,1,A1
439,468,Shivakumar Hegde,22,1,A1
440,468,Basavaraj Jadhav,52,1,A2
441,469,Ravi Hanumanthappa,33,1,A1
442,469,Naveen Devaraj,46,1,A2
443,470,Nagaraj H,31,1,A1
444,472,Shivakumar Poojary,24,1,A1
445,473,Basavaraj Hanumanthappa,29,1,A1
446,474,Prasad Patil,53,1,A1
447,476,Ganesh R,47,1,A1
448,477,Kiran Pai,27,1,A1
449,478,Vishnu Shetty,51,1,A1
450,479,Naveen Kulkarni,20,1,A1
451,480,Thomas Hanumanthappa,39,1,A1
452,482,Basavaraj R,23,1,A1
453,482,Ravi Hiremath,39,1,A2
454,485,Umesh Pai,49,1,A1
455,486,Mahesh T,35,1,A1
456,486,Girish Bhatkal,33,1,A2
457,487,Sandeep V,42,1,A1
458,487,Shivakumar Naik,45,1,A2
459,488,Shivakumar Kamath,19,1,A1
460,491,Lokesh Hiremath,27,1,A1
461,494,Girish Kamath,19,1,A1
462,496,Basavaraj Hegde,26,1,A1
463,496,Rohit Iyer,40,1,A2
464,496,Madhu Kulkarni,35,1,A3
465,497,Harish Iyer,45,1,A1
466,498,Venkatesh Gowda,25,1,A1
467,499,Imran Biradar,43,1,A1
468,500,Yogesh Kulkarni,31,1,A1
469,500,David Hanumanthappa B,45,1,A2
470,501,Prasad Poojary,54,1,A1
471,503,Lakshmi Naik,23,2,A1
472,504,Manjunath T,48,1,A1
473,507,Mahesh Swamy,32,1,A1
474,508,S Narasimharajapura,39,1,A1
475,509,Vishnu Kumar,39,1,A1
476,511,Vijay Kumar,55,1,A1
477,512,Harish Pai D,30,1,A1
478,513,Syed Kulkarni,25,1,A1
479,514,Syed Desai G,31,1,A1
480,517,Prakash Mudalgi,35,1,A1
481,519,Umesh Kori,30,1,A1
482,519,Harish Hiremath,33,1,A2
483,520,Shankar Reddy,34,1,A1
484,520,Rajesh Bhat,44,1,A2
485,521,Rajesh Setty D,27,1,A1
486,521,Manasa Srirangapatna H,32,2,A2
487,523,Prakash Setty,24,1,A1
488,524,Darshan Setty,48,1,A1
489,525,Santosh Pai,42,1,A1
490,525,Vishnu Kulkarni,28,1,A2
491,525,Arun Devaraj,55,1,A3
492,529,Harish Naik,52,1,A1
493,529,Sunil Bhatkal,28,1,A2
494,531,Lokesh Pai,46,1,A1
495,533,Vinay Banakar,35,1,A1
496,533,Santosh Rao,54,1,A2
497,537,Karthik Iyer,37,1,A1
498,537,Shankar Hegde,34,1,A2
499,538,Umesh Desai A,22,1,A1
500,539,Thomas Bhat,40,1,A1
501,539,Karthik T,44,1,A2
502,540,Suresh S,37,1,A1
503,540,Rohit Kamath,46,1,A2
504,543,Gopal Swamy,20,1,A1
505,543,Vijay Jadhav,30,1,A2
506,544,Karthik H,37,1,A1
507,546,Harish Kori,38,1,A1
508,546,Sandeep Hegde,30,1,A2
509,547,Deepak Naik A,37,1,A1
510,550,Srinivas Desai,51,1,A1
511,550,Manjunath Reddy,27,1,A2
512,550,Lokesh Patil,40,1,A3
513,553,Sandeep Prasad,53,1,A1
514,554,Raghavendra Patil,42,1,A1
515,555,Venkatesh Kembhavi,19,1,A1
516,555,Ravi Devaraj,32,1,A2
517,557,Prasad Rao,21,1,A1
518,557,Chandru Setty,20,1,A2
519,558,Arun Ballal,46,1,A1
520,558,Ashok Naik G,52,1,A2
521,559,Chandru Nayak,31,1,A1
522,560,Deepak Swamy V,47,1,A1
523,561,Rohit Khanapur,47,1,A1
524,561,Venkatesh Angadi,33,1,A2
525,563,Venkatesh Poojary,43,1,A1
526,564,Prasad Kori,33,1,A1
527,564,Abdul Ballal,24,1,A2
528,564,Sushma Banakar,43,2,A3
529,566,Naveen Naik,23,1,A1
530,567,Thomas Rao,31,1,A1
531,567,Prakash Setty,25,1,A2
532,568,Chandru Pai,32,1,A1
533,572,Thomas A,26,1,A1
534,573,Sandeep Kamath,35,1,A1
535,573,Ashok Kamath,21,1,A2
536,574,Santosh Banakar,22,1,A1
537,575,Syed Kulkarni S,19,1,A1
538,577,Madhu Murthy,28,1,A1
539,577,Sunil G,35,1,A2
540,579,Mahesh Acharya,26,1,A1
541,579,Imran G,31,1,A2
542,580,Shankar Angadi,45,1,A1
543,581,Basavaraj Hegde,44,1,A1
544,583,Pooja Kori,51,2,A1
545,583,Sandeep Bhat,21,1,A2
546,586,Vishnu Reddy,21,1,A1
547,586,Kiran Devaraj,21,1,A2
548,591,Imran Acharya,25,1,A1
549,594,Manjunath Banakar,24,1,A1
550,597,Venkatesh Setty,55,1,A1
551,597,Deepak T,30,1,A2
552,601,Chandru Hiremath,53,1,A1
553,603,Roopa Reddy,51,2,A1
554,603,Basavaraj Kulkarni,41,1,A2
555,604,Thomas K,20,1,A1
556,604,Anil Shetty,28,1,A2
557,606,Ashok Shetty G,24,1,A1
558,607,Gopal Iyer,51,1,A1
559,608,Rajesh Kumar,19,1,A1
560,609,Madhu Angadi,49,1,A1
561,609,Raghavendra Acharya,31,1,A2
562,610,Sushma Swamy,40,2,A1
563,613,Arun Angadi,54,1,A1
564,614,Vishnu Hegde,34,1,A1
565,615,Raghavendra Gowda,46,1,A1
566,616,Praveen Gowda,27,1,A1
567,616,Girish Kori A,33,1,A2
568,618,Ashok B,37,1,A1
569,619,Rajesh Kulkarni,43,1,A1
570,619,Lokesh Reddy,55,1,A2
571,620,Rajesh Prasad,25,1,A1
572,621,Rohit R,32,1,A1
573,622,Prasad Murthy,31,1,A1
574,622,Darshan Hiremath,33,1,A2
575,622,Madhu Kulkarni,46,1,A3
576,623,Prasad G,28,1,A1
577,623,Suresh Kulkarni,46,1,A2
578,624,Vijay Nayak,22,1,A1
579,625,Suresh Shetty,35,1,A1
580,629,Rajesh Swamy,55,1,A1
581,629,Geetha Kamath,20,2,A2
582,629,Girish Patil,35,1,A3
583,630,Srinivas Rao,49,1,A1
584,630,Suresh Poojary,44,1,A2
585,631,Gopal Hiremath,48,1,A1
586,631,Vijay M,52,1,A2
587,631,Ashok Devaraj,20,1,A3
588,632,Vinay Hegde,33,1,A1
589,636,Rohit Khanapur P,46,1,A1
590,636,Sunil Kamath,36,1,A2
591,637,Rajesh Mundgod,54,1,A1
592,637,Syed Biradar,44,1,A2
593,637,Mahesh Poojary,36,1,A3
594,638,Vijay Kulkarni,30,1,A1
595,641,M Hosadurga,49,1,A1
596,642,Yamuna Poojary,28,2,A1
597,642,Srinivas Bhat,20,1,A2
598,642,Anil Iyer,37,1,A3
599,643,Ganesh B,28,1,A1
600,644,Suresh Reddy,36,1,A1
601,647,Prakash Gowda,30,1,A1
602,648,Sunitha Angadi,19,2,A1
603,648,Ravi Kumar K,39,1,A2
604,649,Chandru Shetty,25,1,A1
605,650,Shankar Reddy,49,1,A1
606,651,Divya D,41,2,A1
607,651,Manjunath Iyer,42,1,A2
608,652,Harish Desai,52,1,A1
609,652,Thomas Gowda,19,1,A2
610,653,Darshan Kulkarni,39,1,A1
611,653,Umesh Swamy,55,1,A2
612,655,Harish G,23,1,A1
613,655,Thomas Gowda S,32,1,A2
614,656,Karthik L,33,1,A1
615,658,Vinay Nayak,41,1,A1
616,660,Kavya Jevargi V,21,2,A1
617,661,Ashok Banakar,19,1,A1
618,663,Abdul Hanumanthappa,31,1,A1
619,668,Prakash T,36,1,A1
620,668,Rajesh Devaraj,39,1,A2
621,670,Padma N,29,2,A1
622,670,Sunil Shetty,53,1,A2
623,670,Syed G,51,1,A3
624,672,Thomas Kumar,33,1,A1
625,673,Umesh G,37,1,A1
626,676,Rajesh Naik,37,1,A1
627,676,Manjunath Patil,52,1,A2
628,676,Sandeep Nayak,38,1,A3
629,677,Ayesha Kamath K,43,2,A1
630,679,David D,29,1,A1
631,679,Sunil Murthy,53,1,A2
632,680,Ashok Pai,50,1,A1
633,681,Ashok Poojary,34,1,A1
634,682,Vijay G,45,1,A1
635,683,Ashok Banakar V,47,1,A1
636,683,Praveen Sagara,41,1,A2
637,685,Uma Poojary,37,2,A1
638,687,Ganesh Pai,52,1,A1
639,688,Srinivas Swamy,27,1,A1
640,690,Gopal Pai,31,1,A1
641,691,Uma Poojary T,36,2,A1
642,691,Vishnu Hiremath,22,1,A2
643,692,Gopal Pai,48,1,A1
644,693,Santosh Angadi,55,1,A1
645,693,Vishnu Ballal,43,1,A2
646,695,Prakash Ballal,40,1,A1
647,697,Vinay Kori,43,1,A1
648,699,Kiran Kumar,53,1,A1
649,699,Syed Kori,47,1,A2
650,699,Manjunath Iyer,26,1,A3
651,700,Rohit Gowda,37,1,A1
652,700,Prasad Ballal,34,1,A2
653,702,Imran Devaraj V,22,1,A1
654,703,Santosh Naik,48,1,A1
655,705,Anil Murthy,34,1,A1
656,705,Kiran Kumar,42,1,A2
657,706,Abdul Jadhav,44,1,A1
658,709,Suresh Angadi,23,1,A1
659,710,Bharathi Devaraj N,31,2,A1
660,711,Sandeep Nayak S,35,1,A1
661,712,Srinivas Jadhav,47,1,A1
662,716,David Belthangady,34,1,A1
663,716,Prasad Jadhav,25,1,A2
664,717,Abdul Hegde,54,1,A1
665,717,Shivakumar Nayak,39,1,A2
666,718,Sunil Biradar,27,1,A1
667,719,Harish Prasad,34,1,A1
668,720,Sowmya Prasad,20,2,A1
669,720,Sandeep Naik,38,1,A2
670,723,Kiran Bhat,27,1,A1
671,724,Deepak Naik,45,1,A1
672,724,Ramesh Biradar M,21,1,A2
673,724,Ramesh Pai,30,1,A3
674,725,Anil Swamy,32,1,A1
675,726,Ganesh Kulkarni R,45,1,A1
676,726,Girish Naik,41,1,A2
677,727,Mohan Setty,33,1,A1
678,728,Syed Gangavathi L,26,1,A1
679,730,Rajesh Kori,47,1,A1
680,731,Umesh B,49,1,A1
681,731,Sandeep Kori V,35,1,A2
682,735,David Bhat,47,1,A1
683,735,Raghavendra Bhat,33,1,A2
684,735,Suresh Hegde,19,1,A3
685,737,Santosh Naik D,22,1,A1
686,737,Chandru Acharya,33,1,A2
687,737,Harish Jadhav,19,1,A3
688,738,Mary Sakleshpur,41,2,A1
689,738,Vinay Desai,32,1,A2
690,739,Bharathi Hegde,54,2,A1
691,741,Ravi Hunagund,30,1,A1
692,743,Yamuna Hanumanthappa,54,2,A1
693,744,Vinay Naik,21,1,A1
