ComplainantID,CaseMasterID,ComplainantName,AgeYear,OccupationID,ReligionID,CasteID,GenderID
144,144,Ramesh Murthy,21,2,1,2,1
145,145,Prasad Naik,53,4,1,1,1
146,146,David Swamy,48,4,2,1,1
147,147,Basavaraj R,24,4,1,3,1
148,148,Basavaraj K,19,6,1,2,1
149,149,Grace Murthy,41,7,1,4,2
150,150,Mary Biradar,42,7,1,2,2
151,151,Naveen Hanumanthappa,22,3,1,3,1
152,152,Nandini Poojary,63,10,1,5,2
153,153,Yamuna S,25,3,3,3,2
154,154,Grace Swamy,40,9,1,5,2
155,155,Raghavendra Prasad,48,4,1,1,1
156,156,Rekha Hegde,33,3,1,1,2
157,157,Manjunath Poojary,44,5,5,2,1
158,158,Madhu Nayak,26,5,1,4,1
159,159,Venkatesh Naik,34,1,2,3,1
160,160,Kavya Shetty,66,4,1,2,2
161,161,Manjunath Devaraj,49,7,2,4,1
162,162,Manjunath B,63,5,2,4,1
163,163,Mahesh Desai,42,9,1,4,1
164,164,Umesh Poojary,34,9,2,3,1
165,165,Geetha Hiremath,40,10,1,3,2
166,166,Mahesh Pai,37,7,1,3,1
167,167,Abdul Biradar,49,4,1,3,1
168,168,Bhavya M,23,6,1,2,2
169,169,Gopal P,42,2,1,1,1
170,170,Mohan Banakar L,48,4,1,5,1
171,171,Sowmya Shetty,47,7,4,1,2
172,172,Vishnu Iyer,48,7,1,5,1
173,173,Naveen Desai,50,4,1,4,1
174,174,Arun D,27,2,1,4,1
175,175,Vishnu Jadhav,56,6,2,1,1
176,176,Vinay Naik,31,5,1,5,1
177,177,Netra Patil,46,6,1,3,2
178,178,Imran Swamy,56,10,1,3,1
179,179,Ravi Desai,61,5,2,5,1
180,180,Gopal Hegde P,67,7,1,2,1
181,181,Prasad D,35,8,2,2,1
182,182,Prasad Bhat R,60,6,4,2,1
183,183,Rohit Kamath,43,4,1,1,1
184,184,Karthik Shetty,31,3,1,1,1
185,185,Rohit H,24,4,1,4,1
186,186,Shwetha Swamy,62,6,1,2,2
187,187,Imran Desai,43,5,2,2,1
188,188,Karthik Rao,29,8,1,4,1
189,189,Imran Bhat R,45,2,1,2,1
190,190,Ganesh Kumar,42,9,1,4,1
191,191,Mahesh Iyer,36,9,2,2,1
192,192,Girish Kori,66,5,1,5,1
193,193,Deepa Jadhav S,65,6,1,5,2
194,194,Yogesh Shetty,57,2,1,2,1
195,195,Sunil Gowda,27,6,1,5,1
196,196,Ashok Hegde,57,9,1,4,1
197,197,Mahesh Shetty N,30,2,1,5,1
198,198,Vishnu Naik,34,10,1,4,1
199,199,Grace Shetty,31,1,1,1,2
200,200,Uma Hanumanthappa,48,3,1,4,2
201,201,Chandru Kamath,35,4,1,1,1
202,202,Chandru Gowda,36,8,1,4,1
203,203,Sandeep Biradar,24,10,1,2,1
204,204,Suresh Desai,31,7,7,1,1
205,205,Kavya Biradar,55,2,1,5,2
206,206,Grace Angadi,61,8,1,5,2
207,207,Manjunath Kamath,37,8,1,3,1
208,208,Anil Devaraj,29,6,3,4,1
209,209,Nagaraj V,25,4,1,3,1
210,210,Santosh Rao,48,9,1,5,1
211,211,Karthik Shetty,62,7,1,3,1
212,212,Kiran V,57,5,1,5,1
213,213,Manasa Prasad,47,10,1,2,2
214,214,Ganesh Patil M,33,4,1,2,1
215,215,Manasa Devaraj,59,10,2,5,2
216,216,Ganesh Ballal,27,10,1,2,1
217,217,Rohit M,43,7,1,1,1
218,218,Pooja Pai,34,9,1,4,2
219,219,Chaitra Kori,59,3,1,3,2
220,220,Manjunath Gowda,27,4,1,3,1
221,221,Grace Iyer,56,5,1,3,2
222,222,Deepak Desai,39,1,2,2,1
223,223,Thomas Jadhav,19,8,1,3,1
224,224,Deepak Hegde R,63,6,1,1,1
225,225,Sujatha Shetty,50,10,1,1,2
226,226,Prasad Hegde,46,7,1,3,1
227,227,Karthik Ballal,33,3,1,5,1
228,228,Bhavya Gowda,62,8,2,5,2
229,229,Rohit Biradar N,54,3,1,1,1
230,230,Lokesh Murthy,18,3,1,5,1
231,231,Grace Kulkarni,57,2,1,2,2
232,232,Harish Patil,36,4,1,5,1
233,233,Karthik Kori,44,1,1,3,1
234,234,Praveen K,59,7,2,1,1
235,235,Vidya Kumar,46,1,1,5,2
236,236,Shankar Jadhav,62,4,1,4,1
237,237,Anil Shetty,21,10,1,3,1
238,238,David Acharya,48,2,1,3,1
239,239,Sushma Pai,30,4,1,1,2
240,240,Grace R,43,1,2,3,2
241,241,Ayesha B,57,2,1,3,2
242,242,Manasa Kamath,44,5,1,1,2
243,243,Ganesh Kori,20,8,1,2,1
244,244,Mahesh Biradar,68,3,2,5,1
245,245,Mahesh Devaraj,53,5,1,5,1
246,246,Sowmya Ballal G,37,9,2,3,2
247,247,Venkatesh Ballal,51,3,1,1,1
248,248,Divya K,59,4,1,1,2
249,249,Madhu Reddy,66,1,1,3,1
250,250,Imran Swamy M,23,5,2,1,1
251,251,Roopa Bhat,54,9,1,5,2
252,252,Prasad Kumar,29,7,3,1,1
253,253,Manasa Iyer,36,6,1,1,2
254,254,Mahesh Hiremath,70,3,1,2,1
255,255,Sunil N,56,4,1,2,1
256,256,Vinay Desai,60,5,1,1,1
257,257,Vishnu Angadi H,27,8,1,4,1
258,258,Manasa L,26,10,1,1,2
259,259,Kiran V,63,9,2,1,1
260,260,David Desai,35,1,1,4,1
261,261,Ayesha Hanumanthappa,67,9,1,2,2
262,262,Vidya Swamy,33,5,1,3,2
263,263,Girish Poojary,45,1,1,1,1
264,264,Ganesh Swamy,44,7,1,5,1
265,265,Bhavya Hanumanthappa,68,7,3,1,2
266,266,Sahana Hanumanthappa,66,7,1,2,2
267,267,Ramesh R,40,4,1,2,1
268,268,Pooja Naik,44,9,1,1,2
269,269,Vishnu Devaraj,62,4,1,2,1
270,270,Sandeep Pai,50,10,1,5,3
271,271,Rekha Kulkarni,69,4,1,2,2
272,272,David Poojary L,37,9,1,2,1
273,273,Pooja Hanumanthappa,66,5,1,3,2
274,274,Rohit Murthy,37,7,1,5,1
275,275,Madhu Devaraj,49,4,1,4,1
276,276,Girish Ballal,18,2,1,3,1
277,277,Rajesh Kulkarni,39,4,1,2,1
278,278,Ayesha Angadi,68,3,5,1,2
279,279,Nandini Kori,67,1,1,3,2
280,280,Sahana Kori,55,1,1,5,2
281,281,Geetha Pai,69,4,1,4,2
282,282,Girish H,52,6,1,1,1
283,283,Umesh Iyer H,57,6,1,2,1
284,284,Ayesha Rao,53,10,1,3,2
285,285,Roopa Acharya,70,9,1,1,2
286,286,Sujatha Pai,39,1,2,5,2
287,287,Meena Angadi P,65,5,2,1,2
288,288,Naveen Angadi,25,3,1,1,1
289,289,Lokesh Reddy,45,10,1,1,1
290,290,Karthik Jadhav,46,4,1,2,1
291,291,Nandini Angadi D,20,5,1,4,2
292,292,Yogesh Setty,37,9,1,4,1
293,293,Shivakumar Naik,31,5,1,5,1
294,294,Manasa Angadi,50,4,1,5,2
295,295,Deepa Biradar,40,7,1,5,2
296,296,Grace Acharya,53,3,1,3,2
297,297,Thomas Prasad,54,4,1,5,1
298,298,Sandeep Hiremath,67,6,1,5,1
299,299,Mary Angadi,18,9,2,3,2
300,300,Naveen Naik,54,7,1,5,1
301,301,Gopal Patil K,45,2,1,4,1
302,302,Padma Patil,39,9,1,3,2
303,303,Pooja Gowda,42,3,1,5,2
304,304,Sahana Shetty,64,5,1,2,2
305,305,Rekha Hegde,67,10,1,4,2
306,306,Divya Kumar,28,8,2,5,2
307,307,Mahesh Biradar,56,4,1,1,1
308,308,Srinivas Hiremath,45,7,1,1,1
309,309,Bharathi Murthy,67,8,1,2,2
310,310,Ayesha Hanumanthappa,22,8,1,1,2
311,311,Manasa Setty,28,5,1,2,2
312,312,Meena Kulkarni,49,2,1,5,2
313,313,Raghavendra Rao,69,7,2,5,1
314,314,Yogesh Murthy,42,2,1,5,1
315,315,Nandini Kulkarni,62,3,1,5,2
316,316,Sunil Bhat,58,7,1,2,1
317,317,Prasad Shetty,25,1,1,2,1
318,318,Suresh Patil,65,7,2,4,1
319,319,Chandru Biradar L,69,9,1,3,1
320,320,Sunil Prasad,55,6,1,1,1
321,321,Netra Banakar,29,9,1,3,2
322,322,Shankar Patil,69,8,1,1,1
323,323,Kiran Kumar R,55,9,1,1,1
324,324,Vijay Devaraj,46,2,5,4,1
325,325,Abdul Reddy,50,9,1,3,1
326,326,Darshan Banakar,55,2,1,4,1
327,327,Naveen Ballal,32,2,2,4,1
328,328,Uma Kulkarni,25,8,1,5,2
329,329,Nagaraj Iyer,70,8,1,1,1
330,330,Abdul D,19,2,1,3,1
331,331,Manjunath Kumar,39,4,1,3,1
332,332,Ramesh Murthy,58,5,4,5,1
333,333,Ashok Biradar,52,6,1,3,1
334,334,Mahesh R,43,3,1,2,1
335,335,Madhu T,40,3,1,5,1
336,336,Fathima Pai,18,3,2,3,2
337,337,Raghavendra Acharya,65,2,1,5,1
338,338,Sunil Acharya,19,5,1,5,1
339,339,Manjunath L,64,5,1,5,1
340,340,Imran Gowda,33,3,1,2,1
341,341,Basavaraj Bhat,39,7,1,3,1
342,342,Kavya K,60,7,1,5,2
343,343,Ramesh Ballal,65,1,5,2,1
344,344,Sushma R,63,3,1,5,2
345,345,Kiran Kumar,52,3,1,1,1
346,346,Srinivas Swamy,29,5,1,5,1
347,347,Chaitra Iyer,30,9,1,5,2
348,348,Divya M,68,7,2,5,2
349,349,Mahesh Devaraj,20,10,1,3,1
350,350,Prakash Prasad,66,8,1,4,1
351,351,Darshan Naik,66,9,1,3,1
352,352,Rekha Murthy,18,3,1,4,2
353,353,Uma Ballal,36,6,1,4,2
354,354,Ramesh Hegde,51,5,1,5,1
355,355,Kiran Murthy,32,9,2,4,1
356,356,Srinivas Setty,27,1,1,5,1
357,357,Thomas Shetty,42,6,1,2,1
358,358,Karthik K,21,3,1,3,1
359,359,Anitha Shetty,49,8,1,2,2
360,360,Shwetha S,54,3,2,3,2
361,361,Madhu Kori,44,1,1,1,1
362,362,Lokesh Murthy,63,8,1,4,1
363,363,Rohit Naik,33,7,1,2,1
364,364,Sunitha Gowda,70,6,1,5,2
365,365,Kiran Hegde N,21,8,1,5,1
366,366,Srinivas Gowda,43,8,1,2,1
367,367,Vinay R,33,1,1,3,1
368,368,David Hegde,28,2,1,2,1
369,369,Ayesha Iyer P,43,4,1,4,2
370,370,Ravi Nayak,32,10,1,5,1
371,371,Mahesh B,46,2,1,2,3
372,372,Deepa Naik,40,3,1,5,2
373,373,Sujatha Kumar,22,1,1,4,2
374,374,Ramesh Desai,46,9,1,5,1
375,375,Shwetha Iyer B,34,5,1,1,2
376,376,Arun Poojary,34,2,1,5,1
377,377,Arun Acharya,65,6,2,5,1
378,378,Lakshmi Patil,56,7,1,3,2
379,379,Srinivas P,55,7,1,1,1
380,380,Ramesh Prasad,70,10,1,2,1
381,381,Vinay Swamy,57,8,1,4,1
382,382,Sushma Poojary,36,2,1,1,2
383,383,Rohit S,29,6,1,5,1
384,384,Yamuna Devaraj S,34,4,1,3,2
385,385,Suresh Poojary,47,4,1,5,1
386,386,Mohan Jadhav,42,3,1,3,1
387,387,Rohit Acharya,55,1,1,5,3
388,388,Ravi Devaraj,25,4,1,1,1
389,389,Ramya Bhat,34,2,1,3,2
390,390,Netra Biradar G,70,1,1,2,2
391,391,Geetha Hanumanthappa,63,4,1,5,2
392,392,Thomas Iyer,44,2,1,5,1
393,393,Santosh Biradar N,70,4,1,5,1
394,394,Padma Hegde,45,9,1,4,2
395,395,Ramya Murthy,41,10,2,4,2
396,396,Arun Hegde,70,6,1,5,1
397,397,Fathima Iyer,30,4,1,1,2
398,398,Mohan Biradar,23,10,1,3,1
399,399,Ayesha Rao,43,7,1,1,2
400,400,Prasad R,61,5,1,5,1
401,401,Chaitra Iyer,27,4,1,3,2
402,402,Thomas Devaraj,27,6,1,2,1
403,403,Madhu Pai,70,1,1,1,1
404,404,Chaitra Poojary,60,7,1,2,2
405,405,Sunitha Shetty,66,5,1,5,2
406,406,Prasad Hiremath,62,6,1,4,1
407,407,Vijay Poojary,28,2,1,1,1
408,408,Abdul M,54,9,1,1,1
409,409,Chandru Desai,24,6,1,2,1
410,410,Sahana Murthy,23,3,1,4,2
411,411,Gopal Jadhav,55,4,1,2,1
412,412,Ravi Patil,69,10,1,1,1
413,413,Kiran Desai,61,5,6,1,1
414,414,Padma Swamy,48,7,1,5,2
415,415,Naveen Acharya,66,5,1,2,1
416,416,Rohit L,70,3,1,2,1
417,417,Ramesh Setty,22,3,2,2,1
418,418,Srinivas Nayak G,26,1,2,2,1
419,419,Shivakumar Hiremath,27,4,2,1,1
420,420,Prasad Rao,38,4,1,1,1
421,421,Vidya D,39,9,2,5,2
422,422,Ramesh Pai,46,10,1,5,1
423,423,Praveen Hanumanthappa,58,4,1,4,1
424,424,Prakash Prasad,70,6,1,2,1
425,425,Harish Kamath M,62,9,1,1,1
426,426,Thomas Desai,64,5,1,1,1
427,427,Ganesh Hanumanthappa,39,9,1,4,1
428,428,Nagaraj Prasad,59,9,1,5,1
429,429,David Poojary,70,1,1,5,1
430,430,Darshan Desai,56,1,1,5,1
431,431,Ramya Swamy,20,4,1,2,2
432,432,Sunil Desai,59,1,1,2,1
433,433,Padma Kulkarni,41,3,1,2,2
434,434,Shankar V,41,1,1,1,1
435,435,Sunitha Murthy,24,1,2,3,2
436,436,Yogesh Poojary,40,3,2,2,1
437,437,Basavaraj Kamath,66,8,1,1,1
438,438,Syed Ballal,57,7,2,5,1
439,439,Shankar G,33,9,1,2,1
440,440,Anil A,39,10,1,3,1
441,441,Sunitha Bhat,27,5,1,1,2
442,442,Darshan K,64,10,1,3,1
443,443,Fathima Setty,42,4,1,3,2
444,444,Umesh Devaraj,70,1,1,5,1
445,445,Vinay Acharya,18,6,1,1,1
446,446,Vinay Rao,28,4,1,5,1
447,447,Girish N,54,6,1,5,1
448,448,Deepa Biradar,47,7,1,1,2
449,449,Divya Setty,52,3,6,1,2
450,450,Mahesh Iyer,43,1,1,1,1
451,451,Meena Kulkarni,43,6,1,5,2
452,452,Mohan L,51,9,1,4,1
453,453,Venkatesh G,63,7,1,3,1
454,454,Yogesh Hanumanthappa,40,3,1,3,1
455,455,Anitha Rao,66,1,1,1,2
456,456,Imran Naik,51,3,1,5,1
457,457,Prakash Iyer,38,2,1,3,1
458,458,Vijay Devaraj,48,2,1,3,1
459,459,Thomas Poojary,22,3,1,3,1
460,460,Rohit Kamath,56,10,2,3,1
461,461,Manjunath Rao,18,1,1,5,1
462,462,Mary Hegde,29,1,1,2,2
463,463,Bharathi D,22,6,1,3,2
464,464,Shivakumar Bhat,33,6,1,2,1
465,465,Bharathi Patil,39,4,1,3,2
466,466,Uma Ballal,43,10,1,1,2
467,467,Thomas Murthy,67,10,2,5,1
468,468,Shivakumar Gowda,57,3,2,1,1
469,469,Basavaraj Biradar S,57,4,3,3,1
470,470,Imran Kumar,55,9,1,2,1
471,471,Shankar Rao,29,5,1,1,1
472,472,Madhu Devaraj,49,1,1,5,1
473,473,Sowmya Murthy,40,2,1,5,2
474,474,Darshan Shetty H,32,8,1,1,1
475,475,Sushma Reddy,23,6,1,1,2
476,476,Uma P,24,7,1,4,2
477,477,Raghavendra A,37,1,1,4,1
478,478,Geetha Iyer M,24,1,1,3,2
479,479,Lokesh Prasad,63,6,1,1,1
480,480,Rajesh Kori,49,2,1,1,1
481,481,Girish Pai,61,9,1,2,1
482,482,Chaitra B,61,8,1,1,2
483,483,Girish Rao,64,8,1,1,1
484,484,Nandini D,48,6,2,1,2
485,485,Ravi Iyer,45,7,1,2,1
486,486,Ravi Shetty,38,10,1,1,1
487,487,Shivakumar K,31,5,1,2,1
488,488,Vidya T,49,4,1,2,2
489,489,Mary Jadhav,32,4,1,5,2
490,490,Ashok A,49,4,4,5,3
491,491,Mohan Hiremath,34,7,1,4,1
492,492,Praveen Pai,37,9,1,1,1
493,493,Harish Reddy B,65,7,1,2,1
494,494,Yogesh Kulkarni,25,10,1,1,1
495,495,Bharathi Hanumanthappa,20,2,1,1,2
496,496,Bhavya Iyer,40,1,7,4,2
497,497,Meena Iyer,41,9,1,5,2
498,498,Anil Kamath,32,5,1,4,1
499,499,Umesh Prasad,22,6,1,5,1
500,500,Sushma Hegde,18,10,1,4,2
501,501,Basavaraj Pai,56,7,1,1,1
502,502,Vishnu Reddy,24,2,1,2,1
503,503,Vinay Biradar H,29,4,1,4,1
504,504,Ramesh Bhat,21,8,1,3,1
505,505,Padma Hegde,18,2,1,4,2
506,506,Netra Banakar,28,5,1,5,2
507,507,Thomas Reddy,64,4,1,5,1
508,508,Lakshmi Ballal,39,9,1,4,2
509,509,Lokesh Reddy,56,1,1,1,1
510,510,Yamuna G,39,1,1,5,2
511,511,Arun Hiremath M,52,2,1,4,1
512,512,Deepa Hegde,68,4,1,4,2
513,513,Madhu Hanumanthappa,30,10,1,3,1
514,514,Yogesh Devaraj,24,6,1,3,1
515,515,Ayesha Gowda,65,8,2,2,2
516,516,Praveen Ballal,25,10,1,3,1
517,517,Rohit Prasad M,40,7,2,2,1
518,518,Manjunath Swamy K,37,6,1,3,1
519,519,Nagaraj Shetty,62,3,1,4,1
520,520,Yamuna Angadi,69,5,1,2,2
521,521,Darshan P,35,10,1,1,1
522,522,Thomas Desai,30,1,1,5,1
523,523,Nagaraj V,41,9,2,2,1
524,524,Ramesh Kori,29,9,1,5,1
525,525,Ramesh R,38,5,1,5,1
526,526,Lokesh S,38,6,1,1,1
527,527,Rajesh Kori,63,7,1,5,1
528,528,Venkatesh Gowda,31,8,1,1,1
529,529,Vidya Setty,61,4,1,2,2
530,530,Prasad Hegde,25,4,1,3,1
531,531,Abdul Banakar,35,5,1,5,1
532,532,Deepak Acharya,60,5,1,1,1
533,533,Chaitra Poojary,46,8,1,1,2
534,534,Rajesh Hiremath,25,8,1,5,1
535,535,Naveen Biradar,20,10,1,3,1
536,536,Rekha Rao,35,2,1,4,2
537,537,Sandeep Swamy,41,8,1,2,1
538,538,Venkatesh T,23,3,1,3,1
539,539,Manasa Acharya,65,4,1,2,2
540,540,Deepa Hiremath,43,9,1,2,2
541,541,Madhu G,42,10,1,2,1
542,542,Umesh Bhat,24,6,1,3,1
543,543,Srinivas Hegde,43,7,3,3,1
544,544,Madhu Hiremath,38,9,1,4,1
545,545,Venkatesh Hegde,50,9,3,5,1
546,546,Rajesh Acharya,18,1,1,1,1
547,547,Abdul Devaraj,31,4,1,4,1
548,548,Rohit Shetty,40,2,1,4,1
549,549,Umesh D,60,2,1,1,1
550,550,Shwetha Kori,65,2,1,2,2
551,551,Naveen Acharya H,53,2,1,2,1
552,552,Ganesh Bhat,49,9,1,4,1
553,553,Ravi Jadhav,32,5,1,2,1
554,554,Deepak Iyer,66,10,1,3,1
555,555,Praveen Reddy,29,10,1,1,1
556,556,Vinay Nayak,25,5,1,4,1
557,557,Kavya Prasad,57,10,1,3,2
558,558,Yamuna Hanumanthappa,61,3,1,1,2
559,559,Ashok Jadhav,42,3,1,2,1
560,560,Sahana Kulkarni,30,4,1,5,2
561,561,Vishnu T,31,9,1,5,1
562,562,Anil Bhat A,24,2,1,3,1
563,563,Sunitha Devaraj,37,10,1,4,2
564,564,Ayesha Prasad,68,7,1,4,2
565,565,David Jadhav,56,1,1,4,1
566,566,Prasad S,29,8,2,1,1
567,567,Syed Nayak,69,7,1,3,1
568,568,Praveen Kulkarni,31,9,1,5,1
569,569,Umesh R,40,6,1,2,1
570,570,Sowmya Rao,19,6,1,1,2
571,571,Suresh Murthy,57,7,1,5,1
572,572,Santosh Shetty,40,7,1,2,1
573,573,Sandeep Jadhav,50,8,1,1,1
574,574,Uma Kamath,19,7,2,2,2
575,575,Chaitra Jadhav,40,2,1,3,2
576,576,Vidya Jadhav,70,7,1,3,2
577,577,Divya Patil,39,7,1,5,2
578,578,Sandeep Pai B,43,4,2,4,1
579,579,Vijay Ballal T,21,5,1,2,3
580,580,Ramesh Naik,66,9,1,2,1
581,581,Sujatha Biradar,50,6,4,3,2
582,582,Praveen Ballal,48,7,1,1,1
583,583,Ramesh Banakar,50,5,1,4,1
584,584,Chandru Naik,63,7,1,5,1
585,585,Manasa Jadhav,21,5,2,2,2
586,586,Ayesha Iyer,49,10,1,1,2
587,587,Venkatesh S,19,10,1,1,1
588,588,Nagaraj Bhat,24,4,1,5,1
589,589,Shivakumar Acharya,23,4,2,5,1
590,590,Manjunath Hanumanthappa V,38,3,1,1,1
591,591,Srinivas Jadhav A,19,10,1,2,1
592,592,Deepak Rao,47,10,5,5,1
593,593,Sujatha Pai,44,2,1,5,2
594,594,Shwetha R,55,7,1,5,2
595,595,Rohit Banakar,40,1,1,3,1
596,596,Ashok Kori,52,2,1,1,1
597,597,Fathima Setty,28,8,1,5,2
598,598,David Kori,44,10,1,5,1
599,599,Meena Poojary,66,4,1,4,2
600,600,Yogesh Acharya,28,10,1,5,1
601,601,Nagaraj Rao,63,4,1,4,1
602,602,Thomas Murthy,47,10,1,5,1
603,603,Pooja R,61,10,1,2,2
604,604,Raghavendra Setty,26,3,1,3,1
